config,preguntas,recall@k,precision@k,mrr,abstencion_negativas,seg_recuperacion,seg_p50_e2e,seg_p95_e2e,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall
naive,29,0.8333333333333333,0.2,0.7733333333333333,1.0,0.3500344827586207,1.737,3.337,0.9333333333333332,0.5556884785176729,0.7939807386688645,0.8048333332847681,0.96
sparse,29,0.8733333333333333,0.20800000000000002,0.71,1.0,0.01782758620689655,1.36,1.845,0.9333333333333335,0.576970908498653,0.7725928364756338,0.7861666666141958,0.9
hybrid,29,0.9133333333333333,0.21600000000000003,0.828,1.0,0.35879310344827586,1.768,2.609,0.9273333333333332,0.5448141555981827,0.8018330907610074,0.8761666666096792,0.96
hybrid_rerank,29,0.9333333333333332,0.22400000000000003,0.7626666666666666,1.0,2.8933103448275865,4.34,5.505,0.9706666666666667,0.5716313418345167,0.8636202660668889,0.894222222165515,1.0
