config,preguntas,recall@k,precision@k,mrr,abstencion_negativas,seg_recuperacion,faithfulness,answer_correctness,context_precision,context_recall
naive,29,0.8333333333333333,0.2,0.7733333333333333,1.0,0.28248275862068967,0.944952380952381,0.5553649930652947,0.8114999999503292,0.96
sparse,29,0.8733333333333333,0.20800000000000002,0.71,1.0,0.02113793103448276,0.960952380952381,0.5387408454836139,0.787055555502144,0.9
hybrid,29,0.9133333333333333,0.21600000000000003,0.828,1.0,0.296,0.966,0.53117237931209,0.870833333276629,0.96
hybrid_rerank,29,0.9333333333333332,0.22400000000000003,0.7626666666666666,1.0,2.699,0.9766666666666666,0.5901789571564269,0.8797222221691857,1.0
